de_sign,dec_rad,ded,dem,des,dm,glat,glon,hd_cat_num,hrn,n_spectral_type,n_vmag,name,ra_rad,rah,ram,ras,spectral_type,u_vmag,vmag,x,y,z
+,0.07163122138393394,0.0,16.0,25.0,BD-00 3871,-13.92,40.55,188350,7596,,,58    Aql,5.213065765140129,19.0,54.0,44.8,A0III,,5.61,0.4787883924146571,-0.8750082360982286,0.0715699800842142
-,-0.5321799777539377,26.0,17.0,58.0,CD-2614637,-25.04,14.86,188376,7597,,,58Ome Sgr,5.217836331762247,19.0,55.0,50.4,G5V,,4.7,0.4172356321734499,-0.7539538682110972,-0.5074130387114084
+,0.15889768398365042,7.0,8.0,25.0,BD+06 4351,-10.6,46.7,188385,7598,,,,5.2127385159053805,19.0,54.0,40.3,A2V,,6.15,0.47368873378098736,-0.8663615241867622,0.15822987359457544
-,-0.29692413899553527,6.0,44.0,3.0,BD-07 5102,-17.26,34.15,188405,7599,,,,5.215596492555521,19.0,55.0,19.6,F2V,,6.51,0.46113564972781174,-0.8377055941115268,-0.2925803310962013
+,1.031707754085148,47.0,48.0,27.0,BD+47 2945,10.32,81.77,188439,7600,,,,5.205531760535687,19.0,53.0,1.2,B0.5IIIn,,6.29,0.2430200246809646,-0.45218761270134283,0.8581769226234901
+,0.502509380470034,24.0,19.0,10.0,BD+23 3829,-1.87,61.6,188485,7601,,,,5.212069473025449,19.0,54.0,31.1,A0III,,5.52,0.41991163782124086,-0.7692271479180023,0.4816262153664591
+,0.2111848394913139,6.0,24.0,24.0,BD+06 4357,-11.09,46.13,188512,7602,,,60Bet Aql,5.215538314913788,19.0,55.0,18.8,G8IV,,3.71,0.4714743240825643,-0.8566049380064451,0.2096185629038218
-,-1.4004812806211167,66.0,56.0,58.0,CP-67 3695,-31.52,328.96,188584,7603,,,Mu 1Pav,5.237660363182815,20.0,0.0,23.0,K0III,,5.76,0.08499181786099286,-0.14664315712026083,-0.9855314177470378
-,-0.5157447939643244,27.0,10.0,12.0,CD-2714399,-25.56,14.05,188603,7604,,,59    Sgr,5.2226650760260975,19.0,56.0,56.8,K2.5IIb,,4.52,0.4248875077886151,-0.7591055471765864,-0.4931829011339656
-,-0.6784967467127956,38.0,3.0,30.0,CD-3813776,-28.74,2.33,188642,7605,,,,5.225901207347504,19.0,57.0,41.3,F4V,,6.55,0.38243834362104345,-0.6781074762945885,-0.6276234252493902
+,0.8890998097867779,36.0,59.0,46.0,BD+36 3766,4.61,72.5,188650,7606,,,,5.213320292322712,19.0,54.0,48.3,G1Ib-IICH1Fe-1Ca-1,,5.76,0.30260630246969006,-0.5526930936154903,0.776504842209861
+,0.5747223782712995,30.0,11.0,43.0,BD+29 3802,1.05,66.7,188651,7607,,,,5.214643833672141,19.0,55.0,6.5,B6V+A5V,,6.57,0.40406247467301837,-0.7356837694345829,0.5436017917112117
+,1.1319187419704893,57.0,31.0,25.0,BD+57 2084,14.91,90.55,188665,7608,,,23    Cyg,5.206709857780783,19.0,53.0,17.4,B5V,,5.14,0.2015982183675384,-0.3740565474055699,0.9052291741288827
+,0.4454225695193862,16.0,38.0,5.0,BD+16 4067,-6.12,55.17,188727,7609,v,,10    Sge,5.218629002130862,19.0,56.0,1.3,G5Ib,,5.36,0.43758072447516566,-0.7892405486718834,0.43083925761227204
+,0.3029600693253491,11.0,25.0,26.0,BD+11 4055,-8.8,50.66,188728,7610,,,61Phi Aql,5.219574388809025,19.0,56.0,14.3,A1IV,,5.28,0.46359806601092235,-0.8343057221219593,0.298346770093944
+,1.215330935805385,59.0,42.0,32.0,BD+59 2137,15.87,92.58,188793,7611,,,,5.208018854719779,19.0,53.0,35.4,A3V,,6.06,0.16551656574326842,-0.30614841211714117,0.9374846218593175
-,-1.3990995616299544,66.0,56.0,39.0,CP-67 3698,-31.67,328.95,188887,7612,,,Mu 2Pav,5.244161714646495,20.0,1.0,52.4,K2IVCNII,,5.31,0.08663379175547915,-0.14726104629586936,-0.9852962855760261
+,0.7906341511534312,38.0,29.0,12.0,BD+38 3817,5.19,73.9,188892,7613,,,22    Cyg,5.217930870430063,19.0,55.0,51.7,B5IV,,4.94,0.34064112449019446,-0.6154085896767554,0.7107994738729924
-,-0.3904446980815648,15.0,29.0,29.0,BD-15 5516,-21.54,26.02,188899,7614,,,61    Sgr,5.227042943566517,19.0,57.0,57.0,A3IV,,5.02,0.4551881109658141,-0.8049519644590853,-0.38059968280180306
+,0.6326818538479445,35.0,5.0,0.0,BD+34 3798,3.36,71.02,188947,7615,,,21Eta Cyg,5.219872549222907,19.0,56.0,18.4,K0III,,3.89,0.39191554721539584,-0.7048085581226957,0.5913096483635824
+,0.6103561838328503,20.0,59.0,53.0,BD+20 4351,-4.08,59.05,188971,7616,,R,,5.222912331003464,19.0,57.0,0.2,A2IV,,6.48,0.4004081040469766,-0.7149557243594755,0.5731593691279271
-,-0.6644613906446746,30.0,32.0,17.0,CD-3017525,-27.01,10.62,188981,7617,,,,5.231362633465203,19.0,58.0,56.4,K1III,,6.28,0.390467008303312,-0.683590917480779,-0.6166352025018099
-,-0.5049819302436928,26.0,11.0,44.0,CD-2614682,-25.67,15.23,189005,7618,,,60    Sgr,5.231420811106936,19.0,58.0,57.2,G6IIIBa0.2,,4.83,0.4341256282690724,-0.7599214442549715,-0.48379162605549636
+,1.0224720534600114,52.0,26.0,20.0,BD+52 2572,12.21,86.11,189037,7619,,,24Psi Cyg,5.21692003390495,19.0,55.0,37.8,A4Vn,,4.92,0.25197449204425354,-0.45630981934257964,0.8533992056069555
+,0.6939865438242454,36.0,15.0,3.0,BD+35 3878,3.89,72.06,189066,7620,,,,5.221748778168801,19.0,56.0,44.2,B5IV,,6.02,0.37483340108848073,-0.6711208256070678,0.6396067220291934
-,-0.9471320074155896,49.0,21.0,4.0,CD-4912949,-31.19,349.59,189080,7621,,,,5.237827623902799,20.0,0.0,25.3,K0III,,6.17,0.2929368381163496,-0.5052324725976614,-0.8117438989652149
+,0.48585603052392146,16.0,47.0,21.0,BD+16 4081,-6.4,55.52,189090,7622,,,11    Sge,5.226199367761387,19.0,57.0,45.4,B9III,,5.53,0.4346207095034406,-0.7700961389344465,0.4669654973003718
-,-0.6832236801036136,35.0,16.0,35.0,CD-3513831,-28.47,5.52,189103,7623,,,The1Sgr,5.234838747558759,19.0,59.0,44.2,B3IV,,4.37,0.38699885278480106,-0.672083882890469,-0.6312963981380839
-,-0.7760897407201451,34.0,41.0,52.0,CD-3513832,-28.34,6.17,189118,7624,,,The2Sgr,5.2353550741291395,19.0,59.0,51.3,A4/5IV,,5.3,0.3564379525452344,-0.6182716805545178,-0.7004941934160865
-,-1.128209917310001,59.0,22.0,34.0,CP-59 7564,-31.96,337.85,189124,7625,,,,5.243601754844813,20.0,1.0,44.7,M6III,,5.13,0.2169568436211816,-0.36925852134419773,-0.9036469844029973
+,1.0778135351586648,58.0,15.0,1.0,BD+57 2092,15.0,91.35,189127,7626,,,,5.215778297685937,19.0,55.0,22.1,G9III,,6.09,0.2282971719897366,-0.41454947791106583,0.8809251566535896
-,-0.7618362184955249,43.0,2.0,36.0,CD-4313735,-30.27,356.85,189140,7627,,,,5.237914890365398,20.0,0.0,26.5,M0II-III,,6.14,0.3629918168923647,-0.625931438916437,-0.6902512402344372
+,0.794488419918252,40.0,22.0,5.0,BD+39 3968,5.93,75.65,189178,7628,,,,5.223908623118144,19.0,57.0,13.9,B5V,,5.45,0.3429701744237555,-0.6109678417849321,0.7135052597986933
-,-0.829613171114638,37.0,42.0,8.0,CD-3813802,-29.15,2.86,189195,7629,,,,5.237144036612435,20.0,0.0,15.9,G8III,,5.95,0.33825644060233534,-0.5843159899101031,-0.7376702544676821
-,-0.8149960386291856,45.0,6.0,47.0,CD-4513549,-30.68,354.49,189198,7630,,,,5.239500231102627,20.0,0.0,48.3,A8III,,5.81,0.3450198651694532,-0.5927737344153314,-0.7277228816148043
-,-0.7602363333478634,33.0,42.0,14.0,CD-3414082,-28.18,7.29,189245,7631,,,,5.237464013641967,20.0,0.0,20.3,F7V,,5.66,0.363262670254035,-0.627049793499436,-0.6890927287907069
+,1.1089385734858972,50.0,54.0,9.0,BD+50 2930,11.31,84.82,189253,7632,,,,5.221814228015751,19.0,56.0,45.1,A1V,,6.43,0.2173140715036337,-0.38903037796444623,0.8952262056862241
+,1.2338023370556581,58.0,50.0,46.0,BD+58 2013,15.21,91.93,189276,7633,,,,5.218199942023079,19.0,55.0,55.4,K5II-III,,4.96,0.1602063547625741,-0.2892480662414675,0.9437528702310048
+,1.1572260161244068,56.0,41.0,13.0,BD+56 2331,14.15,89.98,189296,7634,,R,,5.219916182454207,19.0,56.0,19.0,A4Vn,,6.12,0.19532134422094138,-0.35122366198687466,0.915691821385478
+,0.4604760343178373,19.0,29.0,32.0,BD+19 4229,-5.21,57.97,189319,7635,e,,12Gam Sge,5.2305626908913725,19.0,58.0,45.4,M0-III,,3.47,0.44370507989006747,-0.7782396864078197,0.4443746083875712
+,0.11635528346628865,1.0,22.0,40.0,BD+00 4375,-14.42,42.11,189322,7636,,,,5.233275223437181,19.0,59.0,22.7,G8III,,6.17,0.494284116542862,-0.8615135793609724,0.11609291412523025
-,-0.40797071265367446,9.0,57.0,30.0,BD-10 5238,-19.66,31.6,189340,7637,,,,5.235071458125692,19.0,59.0,47.4,F8V,,5.88,0.4582353109171903,-0.7953690306969499,-0.3967474068432211
+,0.8013242928218964,42.0,15.0,39.0,BD+41 3549,6.79,77.36,189377,7638,,R,,5.226984765924784,19.0,57.0,56.2,A3V,,6.43,0.3424393457158638,-0.6056499467216329,0.7182781052919366
-,-0.9112800356975395,40.0,48.0,51.0,CD-4113807,-30.04,359.42,189388,7639,,,,5.242270941290168,20.0,1.0,26.4,A2-3V,,6.29,0.3096953908041911,-0.5287083516553949,-0.7902887091465212
+,0.781107562319629,30.0,59.0,1.0,BD+30 3837,0.82,67.77,189395,7640,,,,5.230024547705341,19.0,58.0,38.0,B9Vn,,5.49,0.3513934581382243,-0.6171006287452797,0.7040663687322669
+,0.427969276999443,23.0,6.0,5.0,BD+22 3872,-3.41,61.11,189410,7641,,R,14    Vul,5.232388014400749,19.0,59.0,10.5,F0,,5.67,0.45206596619885314,-0.7895513725133231,0.4150240864902002
+,0.6908594955810888,38.0,6.0,20.0,BD+37 3703,4.54,73.84,189432,7642,,,,5.229762748317542,19.0,58.0,34.4,B5IV,,6.32,0.38118702752542094,-0.6698304466403343,0.6371998295667883
-,-0.5769767618884588,22.0,44.0,14.0,CD-2315935,-25.02,19.04,189561,7643,,,,5.242089136159751,20.0,1.0,23.9,G7V,,6.01,0.42347854954611813,-0.7232591029832329,-0.5454926104230976
-,-1.2533645690884279,67.0,19.0,15.0,CP-67 3703,-31.98,328.48,189567,7644,,,,5.260189654943976,20.0,5.0,32.8,G3V,,6.07,0.16255951446434128,-0.26645464900370674,-0.9500401698251654
+,0.4319689898685966,17.0,31.0,0.0,BD+17 4183,-6.49,56.43,189577,7645,,,13    Sge,5.2362277387551375,20.0,0.0,3.3,M4IIIa,,5.37,0.45426031430018277,-0.7863660668015824,0.41865973753742813
+,0.9875654684201247,45.0,46.0,20.0,BD+45 3025,8.37,80.53,189684,7646,,,,5.233115234922414,19.0,59.0,20.5,A5III,,5.92,0.2739906260138769,-0.4777296107758984,0.8346876995885542
+,0.6569710192715322,37.0,2.0,34.0,BD+36 3806,3.76,73.07,189687,7647,,,25    Cyg,5.235638690132589,19.0,59.0,55.2,B3IVe,,5.19,0.3956834629098886,-0.6858966740654293,0.6107211718007007
+,0.28572494296190504,8.0,33.0,29.0,BD+08 4300,-11.25,48.74,189695,7648,,,,5.240271084855591,20.0,0.0,58.9,K5III,,5.91,0.4832834576988478,-0.8288521836386743,0.28185307731519826
-,-0.3936444683768877,13.0,38.0,13.0,BD-14 5618,-21.69,28.27,189741,7649,,,63    Sgr,5.244612591369926,20.0,1.0,58.6,A3V,,5.71,0.4686394604800177,-0.7957771834885001,-0.3835566846244607
-,-0.6570437413236986,27.0,42.0,35.0,CD-2816355,-26.93,13.92,189763,7650,,,62    Sgr,5.247586923303534,20.0,2.0,39.5,M4III,,4.58,0.4038276255595033,-0.6810819051194259,-0.610778754831786
+,0.922188343522504,52.0,3.0,21.0,BD+51 2728,11.54,86.04,189775,7651,,,,5.232744352456365,19.0,59.0,15.4,B5III,,6.15,0.3003404676790572,-0.5241234779301217,0.7969254565872259
-,-0.8920814139256016,37.0,56.0,27.0,CD-3813828,-29.84,2.77,189831,7652,,,,5.251513914120522,20.0,3.0,33.5,K5III,,4.77,0.322299793466492,-0.5387459660172738,-0.7783801302908311
+,0.6685338255659946,27.0,45.0,13.0,BD+27 3587,-1.34,65.3,189849,7653,,,15    Vul,5.240794683631189,20.0,1.0,6.1,A4III,,4.64,0.39562787750067957,-0.677703320641028,0.619836100704397
+,1.2394019350724734,63.0,32.0,3.0,BD+63 1584,17.09,96.42,189900,7654,,R,,5.229348232620193,19.0,58.0,28.7,A3V,,5.96,0.16080653188427213,-0.28284554709771914,0.9455895810500159
+,0.6716608738091512,37.0,5.0,56.0,BD+36 3820,3.56,73.26,189942,7655,,,,5.24146372651112,20.0,1.0,15.3,K0III,,6.2,0.39510096059867694,-0.6757619194792074,0.6222869588186626
+,0.6283912527701251,24.0,48.0,1.0,BD+24 3975,-3.02,62.87,189944,7656,,,,5.243601754844813,20.0,1.0,44.7,B4V,,5.88,0.40980965608480374,-0.6974922068034495,0.5878440841142395
+,0.6644613906446745,24.0,56.0,17.0,BD+24 3977,-3.0,63.02,190004,7657,,,16    Vul,5.2448162131159926,20.0,2.0,1.4,F2III,,5.22,0.3996281392313655,-0.6782760333153668,0.6166352025018098
-,-0.5398885152835793,22.0,35.0,44.0,BD-22 5318,-25.48,19.39,190009,7658,,,,5.2522993122839186,20.0,3.0,44.3,F6V,,6.45,0.44094239831493465,-0.7357528813482546,-0.5140403670491402
-,-0.5732679372279709,32.0,3.0,23.0,CD-3215682,-28.55,9.34,190056,7659,,,,5.254866400725394,20.0,4.0,19.6,K1III,,4.99,0.43372648801425323,-0.719517053194348,-0.5423804419015711
+,0.9000808396639092,50.0,6.0,17.0,BD+49 3158,10.28,84.49,190147,7660,,,26    Cyg,5.241921875439768,20.0,1.0,21.6,K1II-III,,5.05,0.3139620199266721,-0.5364215494058397,0.7833771578088055
-,-0.24514603785303687,7.0,28.0,11.0,BD-07 5159,-19.52,34.46,190172,7661,,,,5.253528314965531,20.0,4.0,1.2,F4III,,6.72,0.49971197465561484,-0.8314960154324079,-0.24269799897365243
+,0.44520440336288686,18.0,30.0,2.0,BD+18 4365,-6.63,57.67,190211,7662,,,,5.250270367028475,20.0,3.0,16.4,K3II-III+G8IV,,5.96,0.46237832055956524,-0.7750828598234469,0.43064236796258537
-,-1.2447833669327892,66.0,21.0,17.0,CP-66 3473,-32.36,329.57,190222,7663,,,,5.272385143092286,20.0,8.0,20.5,K5III,,6.45,0.17012119427752626,-0.2713498220992899,-0.9473267933001114
+,0.28747027221389937,16.0,1.0,53.0,BD+15 4033,-7.97,55.58,190229,7664,,,,5.251259386937939,20.0,3.0,30.0,B9pHgMn,,5.67,0.49210858630367704,-0.8230683184032882,0.28352721655421337
-,-1.1995502504852695,66.0,10.0,55.0,CP-66 3474,-32.4,329.79,190248,7665,,,Del Pav,5.2740650224973304,20.0,8.0,43.6,G6-8IV,,3.56,0.19321696832048044,-0.3070411759604124,-0.9318760214845586
+,1.317796307307885,70.0,22.0,1.0,BD+69 1084,20.06,102.91,190252,7666,,,,5.23030816370879,19.0,58.0,41.9,G8III,,6.33,0.12392159626453324,-0.21748179851336003,0.968165845965785
-,-0.18573212123306324,0.0,42.0,34.0,BD-01 3887,-16.51,40.83,190299,7667,,,62    Aql,5.255128200113193,20.0,4.0,23.2,K4III,,5.68,0.5076006756986903,-0.8415699500713782,-0.18466611266578145
-,-0.5759586531581288,33.0,0.0,0.0,CD-3314700,-29.04,8.38,190306,7668,,,,5.26013874950746,20.0,5.0,32.1,B8,,6.53,0.4367524003400463,-0.7159718306854733,-0.5446390350150271
+,0.1949678218581999,7.0,16.0,41.0,BD+06 4416,-12.57,48.01,190327,7669,,,63Tau Aql,5.254044641535913,20.0,4.0,8.3,gK0,,5.52,0.5057875999467556,-0.8406221900876756,0.19373496657108785
+,0.7408922674715929,29.0,53.0,48.0,BD+29 3872,-0.66,67.41,190360,7670,,,,5.251797530123969,20.0,3.0,37.4,G6IV+M6V,,5.71,0.37898940603344256,-0.6330988694885177,0.6749465546002729
-,-0.348920406294533,11.0,35.0,58.0,BD-12 5641,-21.53,30.6,190390,7671,,,,5.2581970707146155,20.0,5.0,5.4,F1III,,6.34,0.48782865930174674,-0.8032053872984815,-0.34188346695702726
+,0.3150319299849765,17.0,4.0,12.0,BD+16 4121,-7.55,56.56,190406,7672,,,15    Sge,5.253891925226363,20.0,4.0,6.2,G1V,,5.8,0.49005864851317893,-0.814762212529798,0.30984682998375945
-,-1.1381728384568024,52.0,52.0,51.0,CP-53 9794,-32.57,345.55,190421,7673,,,Xi  Tel,5.268218169503149,20.0,7.0,23.2,M1IIab,,4.94,0.22121848431049296,-0.3561408718972203,-0.9078689671773432
-,-0.9642216896747007,55.0,0.0,59.0,CP-55 9317,-32.69,343.02,190422,7674,,,,5.269083561923931,20.0,7.0,35.1,F8V,,6.26,0.30120803852238487,-0.48398155489171646,-0.8216054844352574
-,-0.38360882517792033,12.0,39.0,55.0,BD-13 5569,-22.06,29.59,190454,7675,,,65    Sgr,5.259724233810111,20.0,5.0,26.4,A1Vn,,6.55,0.48258995470224864,-0.7918518330932643,-0.3742694350963203
+,1.3319771074803393,64.0,49.0,16.0,BD+64 1405,17.38,97.77,190544,7676,,,64    Dra,5.242423657599717,20.0,1.0,28.5,M1III-IIIb,,5.27,0.11959378196996036,-0.20409763150460206,0.9716179723164518
+,0.45647632144868366,23.0,12.0,37.0,BD+22 3913,-4.49,61.91,190590,7677,,R,,5.257702560759884,20.0,4.0,58.6,A5Vn,,6.45,0.4655785889982461,-0.767425927973783,0.44078795643708346
+,0.6157376156931662,32.0,13.0,7.0,BD+31 3925,0.39,69.49,190603,7678,e,,,5.25606631458614,20.0,4.0,36.1,B1.5Ia,,5.64,0.4222856924734157,-0.6986403090036556,0.5775608301880629
+,0.5910848400087463,19.0,59.0,28.0,BD+19 4277,-6.23,59.18,190608,7679,,,16Eta Sge,5.2584952311284985,20.0,5.0,9.5,K2III,,5.1,0.43124675154190933,-0.7095668780027513,0.5572621330451042
+,0.3927718037508906,15.0,30.0,1.0,BD+15 4040,-8.64,55.36,190658,7680,,,,5.259731506015327,20.0,5.0,26.5,M2.5III,,6.34,0.48079073928705646,-0.7888867026471547,0.3827506177686793
-,-0.09032078879070655,4.0,4.0,42.0,BD-04 5013,-18.48,37.92,190664,7681,,,,5.2630549037993335,20.0,6.0,12.2,K0,,6.47,0.5211219637265899,-0.8487026648930182,-0.09019803504085915
+,1.283107888424498,64.0,38.0,4.0,BD+64 1407,17.21,97.64,190713,7682,,R,65    Dra,5.246190659901939,20.0,2.0,20.3,gG7,,6.57,0.14436787170337634,-0.24426271829262516,0.9589023110161614
+,0.7884524895884383,38.0,28.0,42.0,BD+38 3896,3.64,74.84,190771,7683,,,,5.258517047744148,20.0,5.0,9.8,G5IV,,6.19,0.3661353786790621,-0.6024039983965916,0.7092632143254993
+,0.8978991780989162,48.0,13.0,47.0,BD+47 3004,8.88,83.12,190781,7684,,,,5.255535443605324,20.0,4.0,28.8,A2IV,,6.16,0.32211784699400625,-0.5335596709434585,0.7820192901653094
+,1.3980814528996246,67.0,52.0,25.0,BD+67 1222,18.64,100.7,190940,7685,,,67Rho Dra,5.248285055004332,20.0,2.0,49.1,K3III,,4.51,0.0877524300595778,-0.14776500871570078,0.9851218265868886
+,1.4524775479201144,76.0,28.0,53.0,BD+76  771,22.48,108.94,190960,7686,,,69    Dra,5.234286059962294,19.0,59.0,36.6,M3III,,6.2,0.05884740739949171,-0.1023284456094955,0.9930084953622013
+,1.1098839601640607,51.0,50.0,22.0,BD+51 2763,10.65,86.31,190964,7687,,,,5.258291609382432,20.0,5.0,6.7,M1IIIa,,6.14,0.23091765943943326,-0.38012279660180354,0.8956470812003117
+,0.56228690735084,23.0,36.0,52.0,BD+23 3896,-4.65,62.48,190993,7688,,,17    Vul,5.26605105234859,20.0,6.0,53.4,B3V,,5.07,0.4448516871424741,-0.7196439966072226,0.5331224011366228
+,0.8654651428326883,35.0,58.0,21.0,BD+35 3959,2.1,72.86,191026,7689,,,27    Cyg,5.263753035500131,20.0,6.0,21.8,K0IV,,5.36,0.33960439742687587,-0.5522170105404667,0.7613968915868246
-,-0.17758725139042303,0.0,40.0,42.0,BD-01 3899,-17.29,41.3,191067,7690,,,64    Aql,5.271025240716774,20.0,8.0,1.8,K1IV,,5.99,0.5216943673815378,-0.8346423764531855,-0.176655287129924
-,-1.1319914640226556,57.0,31.0,26.0,CP-57 9622,-33.2,340.04,191095,7691,,,,5.28450790918843,20.0,11.0,7.2,B7V+A3V,,6.37,0.2300243174000074,-0.3572016426778695,-0.9052600730579541
+,1.0667597832293676,56.0,20.0,29.0,BD+55 2324,12.9,90.3,191096,7692,,,,5.259367895754496,20.0,5.0,21.5,F4V,,6.21,0.25119407959502604,-0.41249943309436476,0.8756401955559346
+,0.261726665746983,9.0,23.0,59.0,BD+08 4344,-12.29,50.35,191104,7693,,,,5.27018893711686,20.0,7.0,50.3,F3V,,6.43,0.5112947046081839,-0.8195283908308678,0.2587488003098725
-,-0.19096810898904623,10.0,3.0,46.0,BD-10 5285,-21.65,32.48,191110,7694,,,,5.273170541255683,20.0,8.0,31.3,B9.5III,,6.18,0.5221797158638593,-0.8314449473871146,-0.18980949345271853
+,1.3327043280020037,63.0,53.0,26.0,BD+63 1593,16.64,97.08,191174,7695,,,,5.256684452029554,20.0,4.0,44.6,A2II-III,,6.26,0.12212620627191625,-0.2017669059564494,0.9717897434128386
+,0.45313110704902776,16.0,39.0,51.0,BD+16 4153,-8.58,56.71,191178,7696,,,,5.2713670343619565,20.0,8.0,6.5,M3III,,6.42,0.4768005768299862,-0.7622384374672588,0.43778279361124295
+,0.9684395687003536,53.0,9.0,57.0,BD+52 2623,11.18,87.56,191195,7697,,,,5.2631712590828,20.0,6.0,13.8,F5V,,5.85,0.29652504891911047,-0.48279665833028274,0.8240025983385194
-,-1.5299265334773628,83.0,18.0,38.0,CP-83  695,-29.6,310.0,191220,7698,,,,5.3446635907405025,20.0,24.0,54.4,Am,,6.17,0.02414655521233506,-0.03295988580659841,-0.9991649462421075
+,0.7041676311275454,34.0,25.0,23.0,BD+34 3881,1.03,71.69,191243,7699,,,,5.269541710852579,20.0,7.0,41.4,B5Ib,,6.11,0.40300370465083796,-0.6468861491076895,0.6473996633690231
+,0.3645556475103156,10.0,43.0,33.0,BD+10 4189,-11.78,51.62,191263,7700,,,,5.273679595620848,20.0,8.0,38.3,B3V,,6.31,0.49729905794295826,-0.7909342742295674,0.3565341790319599
+,1.3252866786810276,61.0,59.0,44.0,BD+61 1970,15.65,95.39,191277,7701,,,66    Dra,5.260189654943976,20.0,5.0,32.8,K3III,,5.39,0.12658348648450968,-0.20748560040940667,0.9700135806122376
+,0.9326603190344698,50.0,13.0,45.0,BD+49 3195,9.54,85.08,191329,7702,,,,5.267367321492803,20.0,7.0,11.5,A3V,,6.54,0.3138887917901589,-0.5062918997587096,0.8032075314806448
-,-0.6547893577065393,36.0,6.0,4.0,CD-3613940,-30.91,5.26,191408,7703,,,,5.284849702833612,20.0,11.0,11.9,K3V,,5.32,0.42966522487823916,-0.666720570227071,-0.6089921803819993
+,1.1939506524684542,68.0,1.0,38.0,BD+67 1226,18.54,100.94,191372,7704,,,,5.257317133883402,20.0,4.0,53.3,M3IIIa,,6.28,0.19074971072571356,-0.31469141429129055,0.9298300175996708
+,0.588685012287254,20.0,54.0,55.0,BD+20 4453,-6.68,60.55,191570,7705,,,17The Sge,5.27937373230548,20.0,9.0,56.6,F5IV,,6.48,0.4466833635559422,-0.7015351526171573,0.5552678654170182
-,-0.9373872524252878,42.0,46.0,50.0,CD-4313855,-32.39,357.57,191584,7706,,,,5.290085690589596,20.0,12.0,23.9,K1III,,6.22,0.32323193587768495,-0.4958446704348893,-0.8060143785504575
-,-1.208422340849574,63.0,24.0,57.0,CP-63 4571,-33.29,332.97,191603,7707,,,,5.299030503006066,20.0,14.0,26.9,F0IV,,6.09,0.19623682737594728,-0.29522507362878647,-0.9350578931180146
+,0.8481572944170778,36.0,50.0,23.0,BD+36 3907,2.04,73.91,191610,7708,v,,28    Cyg,5.277119348688322,20.0,9.0,25.6,B2.5Ve,,4.93,0.35395541337502967,-0.5586779911899107,0.7500629756910536
-,-0.36011960232816337,8.0,50.0,32.0,BD-09 5382,-21.71,33.97,191639,7709,,,,5.284718803139713,20.0,11.0,10.1,B1V,,6.49,0.5068514685303689,-0.7867182333742601,-0.3523861661942641
-,-0.2150391082561347,0.0,49.0,17.0,BD-01 3911,-18.08,41.58,191692,7710,,,65The Aql,5.285315123967478,20.0,11.0,18.3,B9.5III,,3.23,0.5296077931887944,-0.8209641622816523,-0.21338563598068203
+,0.6904958853202566,26.0,54.0,15.0,BD+26 3815,-3.57,65.71,191747,7711,,,18    Vul,5.282057176030422,20.0,10.0,33.5,A3III,,5.52,0.41580330193076886,-0.6491849477974265,0.6369195535204759
-,-0.3121957699504857,12.0,23.0,33.0,BD-12 5664,-23.39,30.58,191753,7712,,,1Xi 1Cap,5.288194917233269,20.0,11.0,57.9,K0III,,6.34,0.5181900726098363,-0.7982095824425548,-0.30714900479326807
+,0.40178933821952795,21.0,8.0,5.0,BD+20 4462,-6.79,60.9,191814,7713,,,,5.284238837595415,20.0,11.0,3.5,K0,,6.22,0.49808973866985395,-0.7739342002453825,0.3910658076620054
-,-1.0242173827120058,52.0,26.0,44.0,CP-5211643,-33.6,346.13,191829,7714,,,,5.298455998793951,20.0,14.0,19.0,K4III,,5.65,0.28747758542635354,-0.4330300675913723,-0.8543076720006939
-,-0.37110063220529427,12.0,37.0,3.0,BD-13 5608,-23.59,30.41,191862,7715,,,2Xi 2Cap,5.290231134693928,20.0,12.0,25.9,F7V,,5.85,0.509035996904706,-0.7806238506823934,-0.3626413622313712
+,0.5957390513473978,21.0,52.0,32.0,BD+21 4088,-6.45,61.57,191877,7716,,,,5.285518745713544,20.0,11.0,21.1,B1Ibe,,6.26,0.44885065791678735,-0.6954686965868484,0.5611206456328776
+,0.22711096891576213,0.0,52.0,3.0,BD+00 4444,-17.56,43.3,191984,7717,,,,5.290907449779076,20.0,12.0,35.2,B9pCrEu:Sr:,,6.27,0.5327432029263394,-0.8157732665151288,0.22516362356078262
+,0.6655522214271711,26.0,48.0,32.0,BD+26 3825,-3.85,65.78,192004,7718,,,19    Vul,5.28747496891682,20.0,11.0,48.0,K3II-III,,5.49,0.42782410485287425,-0.6600516649979504,0.6174935909305216
+,0.5791584234534518,26.0,28.0,44.0,BD+26 3828,-4.07,65.53,192044,7719,,,20    Vul,5.288398538979334,20.0,12.0,0.7,B7Ve,,5.92,0.45585696896483235,-0.7018799508082448,0.5473197954574746
-,-0.019925842293601927,1.0,0.0,34.0,BD-01 3920,-18.6,41.65,192107,7720,,,66    Aql,5.293721793197917,20.0,13.0,13.9,K5III,,5.47,0.5490292867414378,-0.8355655902758343,-0.019924523763059875
+,1.0132363528348747,47.0,44.0,13.0,BD+47 3045,7.54,83.37,192276,7721,,,,5.28862397734105,20.0,12.0,3.8,B7V,,6.92,0.28830055047219266,-0.4436754484847104,0.8485486957207121
