de_sign,dec_rad,ded,dem,des,dm,glat,glon,hd_cat_num,hrn,n_spectral_type,n_vmag,name,ra_rad,rah,ram,ras,spectral_type,u_vmag,vmag,x,y,z
+,0.8416850317742653,38.0,40.0,54.0,BD+37   34,-23.7,115.62,1280,63,,,24The And,0.07457646449667438,0.0,17.0,5.5,A2V,,4.61,0.6643553848800968,0.0496373317176773,0.7457667583640127
-,-1.5657057831432464,78.0,46.0,50.0,CP-79    7,-38.2,305.07,1324,64,,,,0.07337655063592827,0.0,16.0,49.0,F3III,,6.77,0.005076823828351726,0.0003731898272856755,-0.9999870432106451
+,1.003491597844573,51.0,25.0,59.0,BD+50   46,-11.09,117.59,1337,65,,,,0.0773035414529155,0.0,17.0,43.0,O9IIInn,,6.14,0.5357561486519028,0.04149854344770767,0.8433523700526364
-,-0.3449934154775458,19.0,3.0,4.0,BD-19   30,-78.78,77.21,1343,66,,,,0.07654723211038464,0.0,17.0,32.6,F4IV-V,,6.45,0.938321913127416,0.07196656239803534,-0.3381904807080111
+,0.19780398189269066,1.0,41.0,20.0,BD+00   28,-60.07,105.89,1367,67,,,,0.07764533509809773,0.0,17.0,47.7,K0II,,6.17,0.9775463606159429,0.07605481591750807,0.1965166095328301
+,0.8339037721924574,36.0,47.0,7.0,BD+35   44,-25.61,115.59,1404,68,,,25Sig And,0.0799724407674235,0.0,18.0,19.7,A2V,,4.52,0.6698421677016612,0.053683407617572065,0.7405603028216577
+,0.2458732583747012,11.0,12.0,21.0,BD+10   25,-50.83,110.0,1419,69,,,,0.07979063563700743,0.0,18.0,17.2,K0III,,6.05,0.9668392421973936,0.07730885081012842,0.24340341274022265
+,0.9576039829275557,43.0,47.0,28.0,BD+42   48,-18.68,116.7,1438,70,,,26    And,0.08160141473595156,0.0,18.0,42.1,B8V,,6.11,0.573566193603608,0.04690797589236509,0.8178150544913866
+,0.6764605292521356,31.0,31.0,2.0,BD+30   35,-30.84,114.79,1439,71,,,,0.08132507093771912,0.0,18.0,38.3,A0IV,,5.87,0.7772161727711071,0.06334687582830249,0.6260368951633971
-,-0.15344353007116812,8.0,3.0,10.0,BD-08   38,-69.4,99.29,1461,72,,,,0.08157959812030162,0.0,18.0,41.8,G0V,,6.46,0.9849639272949101,0.08053169300216122,-0.15284210267459877
-,-0.8120871565425284,43.0,14.0,7.0,CD-43   64,-72.58,323.2,1483,73,,,,0.08163777576203476,0.0,18.0,42.6,K2III,,6.33,0.6856938878748342,0.05610321680387316,-0.7257246869132618
-,-0.355319946885179,8.0,49.0,26.0,BD-09   48,-70.19,98.98,1522,74,,,8Iot Cet,0.08477209621040792,0.0,19.0,25.7,K1.5III,,3.56,0.9341685386714914,0.07938167011777687,-0.34789034451344364
+,0.8891725318389445,40.0,43.0,47.0,BD+39   56,-21.74,116.46,1527,75,,,,0.08592837683985416,0.0,19.0,41.6,K1III,,6.33,0.6277301806065776,0.054072987054885814,0.7765506631422032
+,1.064287233455709,48.0,51.0,55.0,BD+48   79,-13.68,117.63,1561,76,,,,0.08764461727098193,0.0,20.0,5.2,A0V s,,6.52,0.48326552831377345,0.04246440922908805,0.8744433675730144
-,-1.3460124635484603,64.0,52.0,29.0,CP-65   13,-51.9,308.35,1581,77,,,Zet Tuc,0.08757916742403213,0.0,20.0,4.3,F9V,,4.23,0.22204139711780532,0.019496071875636265,-0.9748423057845782
+,0.7685993693470029,30.0,56.0,9.0,BD+30   42,-31.47,115.13,1606,78,,,,0.08904088067257737,0.0,20.0,24.4,B7V,,5.9,0.7160371155758529,0.0639256047238646,0.695129028438966
+,0.7971064137962436,32.0,54.0,41.0,BD+32   45,-29.52,115.53,1632,79,,,,0.09057531597328906,0.0,20.0,45.5,K5III,,5.79,0.6959151260838432,0.0632056711218635,0.7153371096383462
+,0.1894409458935512,8.0,11.0,25.0,BD+07   36,-53.9,109.91,1635,80,,,41    Psc,0.08987718427249133,0.0,20.0,35.9,gK3,,5.37,0.9781456376122999,0.08815046075015509,0.18830987199178556
+,0.43029638266876874,10.0,58.0,37.0,BD+10   32,-51.18,110.93,1663,81,,,,0.09122981444278694,0.0,20.0,54.5,A0V,,6.56,0.905062687233862,0.0827985359716249,0.4171401858104492
+,0.8993536191422449,37.0,58.0,7.0,BD+37   45,-24.52,116.37,1671,82,,,27Rho And,0.09216065671051725,0.0,21.0,7.3,F5III,,5.18,0.6194760365934712,0.057253506079759396,0.7829249492307799
-,-1.3679018012505557,69.0,37.0,30.0,CP-70   12,-47.27,306.87,1685,83,,,Pi  Tuc,0.09010262263420726,0.0,20.0,39.0,B9V,,5.51,0.20068791683074533,0.01813160124442227,-0.9794874195590514
-,-0.7456919229145773,28.0,58.0,54.0,CD-29   86,-83.15,15.52,1737,84,,,Iot Scl,0.09389871375729493,0.0,21.0,31.2,G5III,,5.18,0.7313824464378561,0.06887842303567394,-0.6784802722870394
-,-0.36419203724948346,20.0,3.0,28.0,BD-20   50,-80.2,77.51,1760,85,,,,0.09499681674500803,0.0,21.0,46.3,M5IIe,,5.12,0.9301987768341579,0.08863270212588323,-0.3561944408467111
+,0.35321100737235245,13.0,28.0,57.0,BD+12   25,-48.78,112.19,1796,86,,,42    Psc,0.0978475211899321,0.0,22.0,25.5,K3III,,6.23,0.9337788592873032,0.09166065751199935,0.34591236724432217
-,-1.4556773182154372,77.0,25.0,37.0,CP-78    9,-39.58,305.04,1801,87,,,,0.09370963642166222,0.0,21.0,28.6,K3III,,5.97,0.11436093617683038,0.01074820194813511,-0.9933811214391187
-,-0.26427193757280804,12.0,12.0,34.0,BD-13   60,-73.64,97.34,1835,88,,,9    Cet,0.09976011116190922,0.0,22.0,51.8,G2V,,6.39,0.9604836272412902,0.09613708653721276,-0.2612065512071828
-,-0.550505934899878,31.0,2.0,10.0,CD-31  138,-82.7,358.89,1909,89,,,,0.10127272984697099,0.0,23.0,12.6,B9IVMn,,6.55,0.8478932415504957,0.08616323293143438,-0.5231184839248143
+,0.8143415401596874,38.0,34.0,38.0,BD+37   58,-23.98,117.07,1967,90,,,,0.10486519922399262,0.0,24.0,2.0,S6.5IIIeZr6Ti2,,7.39,0.6825770980288959,0.0718421189490437,0.7272738240795983
+,0.9128071987930344,52.0,1.0,12.0,BD+51   62,-10.63,118.68,1976,91,,,,0.10585421913345608,0.0,24.0,15.6,B5IV,,5.57,0.6081041225376317,0.06461189543095108,0.79122353296749
+,1.2822352237985009,61.0,49.0,52.0,BD+61   69,-0.88,119.79,2011,93,,,12    Cas,0.10817405259756521,0.0,24.0,47.5,B9III,,5.4,0.2829097542365357,0.030723426236982754,0.9586543391849242
-,-0.09228428419920018,2.0,13.0,9.0,BD-03   49,-64.27,107.27,2023,94,,,,0.10687960006900275,0.0,24.0,29.7,K1III,,6.07,0.9900629180328899,0.10622230502392074,-0.09215335181969347
